Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
28-Sep-09,Penrose Hospital,Colorado Springs,Colorado,PHYS,MED,175,"Officials at Penrose Hospital              believe someone has stolen the personal information of 175 patients.              The missing information consists of names, addresses, phone numbers,              Social Security numbers and the reason for the patients' visits. The              information was stored on a computer print-out and kept in a binder              stored in a cabinet. The print out has gone missing.",Dataloss DB,,2009,38.833882,-104.821363
22-Sep-09,Sagebrush Medical Plaza/Kern Medical Center,Bakersfield,California,PHYS,MED,"31,000","Thousands of patients at a Kern 
            County health clinic have been warned their personal information could 
            have been stolen. A break-in happened at the Sagebrush Medical Plaza 
            in July, and Kern Medical Center officials have notified 31,000 patients 
            to take precautions against possible identity theft. One or more unknown 
            individuals broke into a locked storage area that contained confidential 
            patient information. All patient information has now been moved to 
            a location inside the clinic building.",Dataloss DB,,2009,35.373292,-119.018713
2-Sep-09,Naval Hospital Pensacola,Pensacola,Florida,PORT,MED,"38,000","Naval Hospital Pensacola will 
            be notifying thousands of beneficiaries who use its pharmacy services, 
            following the disappearance of a laptop computer. The computer's database 
            contains a registry of 38,000 pharmacy service customers' names, Social 
            Security numbers and dates of birth on all patients that used the 
            pharmacy in the last year. It does not contain any personal health 
            information.",Dataloss DB,,2009,30.421309,-87.216915
22-Jul-09,A Honolulu hospital,Honolulu,Hawaii,INSD,MED,0,"In June 2009, a Hawaii woman 
            was sentenced to a year in prison for illegally accessing another 
            woman's medical records and posting on MySpace that she had HIV. The 
            State of Hawaii brought charges under a state law that criminalizes 
            unauthorized access to a computer as a class B felony. The defendant 
            was employed by a hospital and had access to patient medical records.",Media,,2009,21.306944,-157.858333
9-Jul-09,Mountain Medical Center,Salt Lake,Utah,PHYS,MED,0,"Names, credit card numbers, Social 
            Security numbers were found in a dumpster. A man was throwing away 
            some stuff in a dumpster and found it was chock full of medical records. There's 
            everything in there from canceled checks to routing numbers, 
            he said. Salt Lake Police packed away perhaps twenty boxes of papers, 
            and said they would protect the documents, as they dug into the matter.",Media,,2009,40.760779,-111.891047
22-Apr-09,Marian Medical Center,Santa Maria,California,PORT,MED,"3,200","Recent patients of the emergency 
          room and Urgent Care Center have been alerted that a Blackberry containing 
          patient information was stolen from the hospital. The Blackberry contained 
          an email message that included patient information, such as Social Security 
          numbers, dates of birth and medical histories.",Dataloss DB,,2009,34.953034,-120.435719
13-Apr-09,Moses Cone Hospital,Greensboro,North Carolina,PORT,MED,"14,380","Moses Cone Hospital is offering 
            free credit monitoring to 14,380 patients after a laptop computer 
            containing confidential information was stolen from a VHA employee's 
            car. The information on the laptop, including patients' Social Security 
            numbers.",Dataloss DB,,2009,36.072635,-79.791975
1-Apr-09,Palo Alto Medical Foundation,Palo Alto,California,PORT,MED,"1,000","A laptop computer recently stolen 
          at the Palo Alto Medical Foundation's Santa Cruz office contained personal 
          and medical information of 1,000 Santa Cruz County patients.",Dataloss DB,,2009,37.441883,-122.14302
5-Mar-09,St. Rita's Medical Center,Lima,Ohio,PHYS,MED,242,"A home-health employee for St. 
            Rita's Medical Center had a bag stolen during an automobile break-in. 
            The bag contained information on some patients, including names, dated 
            of birth, addresses, phone numbers, patient identification numbers, 
            and the names of case managers and physicians. In some cases it also 
            included Social Security numbers and the type of treatment being provided, 
            according to a letter given to the patients involved.",Dataloss DB,,2009,40.742551,-84.105226
9-Feb-09,Parkland Memorial Hospital,Dallas,Texas,PORT,MED,"9,300","A laptop computer that may have 
          contained the names, birthdates and Social Security numbers of 9,300 
          employees of Parkland Memorial Hospital was stolen.",Dataloss DB,,2009,32.802955,-96.769923
