db.Total.Records,db.Year.of.Breach
66,2005
85,2005
100,2005
140,2005
154,2005
200,2005
300,2005
530,2005
677,2005
750,2005
771,2005
800,2005
900,2005
900,2005
900,2005
952,2005
"1,000",2005
"1,100",2005
"1,200",2005
"1,400",2005
"1,400",2005
"1,500",2005
"1,600",2005
"1,600",2005
"1,900",2005
"2,400",2005
"2,800",2005
"3,300",2005
"3,500",2005
"3,623",2005
"3,800",2005
"3,800",2005
"3,851",2005
"5,000",2005
"5,278",2005
"5,500",2005
"5,800",2005
"5,875",2005
"6,000",2005
"6,700",2005
"7,000",2005
"7,058",2005
"7,800",2005
"8,000",2005
"8,000",2005
"8,900",2005
"9,000",2005
"9,100",2005
"9,300",2005
"9,613",2005
"9,900",2005
"11,360",2005
"13,000",2005
"14,000",2005
"15,000",2005
"15,000",2005
"15,790",2005
"16,000",2005
"16,500",2005
"17,500",2005
"18,000",2005
"19,000",2005
"20,000",2005
"21,600",2005
"21,762",2005
"26,000",2005
"27,000",2005
"30,000",2005
"30,000",2005
"31,077",2005
"32,000",2005
"33,000",2005
"33,300",2005
"36,000",2005
"37,000",2005
"39,000",2005
"40,000",2005
"40,000",2005
"44,420",2005
"45,000",2005
"49,000",2005
"49,000",2005
"50,000",2005
"57,000",2005
"59,000",2005
"61,709",2005
"70,000",2005
"72,000",2005
"80,000",2005
"98,400",2005
"100,000",2005
"100,000",2005
"100,000",2005
"100,000",2005
"106,000",2005
"120,000",2005
"130,000",2005
"150,000",2005
"161,000",2005
"163,000",2005
"165,000",2005
"180,000",2005
"187,000",2005
"200,000",2005
"206,000",2005
"226,000",2005
"270,000",2005
"300,000",2005
"310,000",2005
"465,000",2005
"600,000",2005
"676,000",2005
"1,200,000",2005
"1,400,000",2005
"2,000,000",2005
"3,900,000",2005
"40,000,000",2005
8,2006
9,2006
11,2006
11,2006
11,2006
12,2006
13,2006
13,2006
13,2006
14,2006
16,2006
17,2006
17,2006
18,2006
23,2006
25,2006
30,2006
30,2006
31,2006
34,2006
35,2006
37,2006
38,2006
40,2006
40,2006
43,2006
43,2006
44,2006
46,2006
47,2006
49,2006
50,2006
51,2006
53,2006
55,2006
57,2006
67,2006
68,2006
68,2006
69,2006
73,2006
75,2006
76,2006
78,2006
80,2006
80,2006
87,2006
88,2006
90,2006
90,2006
90,2006
90,2006
92,2006
96,2006
96,2006
97,2006
98,2006
100,2006
100,2006
100,2006
100,2006
100,2006
106,2006
106,2006
110,2006
117,2006
124,2006
125,2006
128,2006
130,2006
140,2006
143,2006
146,2006
150,2006
156,2006
159,2006
167,2006
184,2006
193,2006
196,2006
200,2006
200,2006
200,2006
200,2006
200,2006
